State,AgeGroup,Year,Value
CA,Under 5 Years,1990,2704659
CA,Under 5 Years,2000,2677612
CA,5 to 13 Years,1990,4499890
CA,5 to 13 Years,2000,5489866
CA,14 to 17 Years,1990,2159981
CA,14 to 17 Years,2000,2635177
CA,18 to 24 Years,1990,3853788
CA,18 to 24 Years,2000,4624546
CA,25 to 44 Years,1990,10604510
CA,25 to 44 Years,2000,12513322
CA,45 to 64 Years,1990,8819342
CA,45 to 64 Years,2000,7937408
CA,65 Years and Over,1990,4114496
CA,65 Years and Over,2000,4443656
TX,Under 5 Years,1990,2027307
TX,Under 5 Years,2000,2290857
TX,5 to 13 Years,1990,3277946
TX,5 to 13 Years,2000,2884592
TX,14 to 17 Years,1990,1420518
TX,14 to 17 Years,2000,1434723
TX,18 to 24 Years,1990,2454721
TX,18 to 24 Years,2000,2111060
TX,25 to 44 Years,1990,7017731
TX,25 to 44 Years,2000,6666844
TX,45 to 64 Years,1990,5656528
TX,45 to 64 Years,2000,7070660
TX,65 Years and Over,1990,2472223
TX,65 Years and Over,2000,2472223
NY,Under 5 Years,1990,1208495
NY,Under 5 Years,2000,1087646
NY,5 to 13 Years,1990,2141490
NY,5 to 13 Years,2000,2655448
NY,14 to 17 Years,1990,1058031
NY,14 to 17 Years,2000,1227316
NY,18 to 24 Years,1990,1999120
NY,18 to 24 Years,2000,2159050
NY,25 to 44 Years,1990,5355235
NY,25 to 44 Years,2000,5622997
NY,45 to 64 Years,1990,5120254
NY,45 to 64 Years,2000,6349115
NY,65 Years and Over,1990,2607672
NY,65 Years and Over,2000,2946669
FL,Under 5 Years,1990,1140516
FL,Under 5 Years,2000,1231757
FL,5 to 13 Years,1990,1938695
FL,5 to 13 Years,2000,2287660
FL,14 to 17 Years,1990,925060
FL,14 to 17 Years,2000,1063819
FL,18 to 24 Years,1990,1607297
FL,18 to 24 Years,2000,1446567
FL,25 to 44 Years,1990,4782119
FL,25 to 44 Years,2000,5977649
FL,45 to 64 Years,1990,4746856
FL,45 to 64 Years,2000,4556982
FL,65 Years and Over,1990,3187797
FL,65 Years and Over,2000,3857234
IL,Under 5 Years,1990,894368
IL,Under 5 Years,2000,912255
IL,5 to 13 Years,1990,1558919
IL,5 to 13 Years,2000,1808346
IL,14 to 17 Years,1990,725973
IL,14 to 17 Years,2000,813090
IL,18 to 24 Years,1990,1311479
IL,18 to 24 Years,2000,1613119
IL,25 to 44 Years,1990,3596343
IL,25 to 44 Years,2000,4351575
IL,45 to 64 Years,1990,3239173
IL,45 to 64 Years,2000,2623730
IL,65 Years and Over,1990,1575308
IL,65 Years and Over,2000,1811604
PA,Under 5 Years,1990,737462
PA,Under 5 Years,2000,781710
PA,5 to 13 Years,1990,1345341
PA,5 to 13 Years,2000,1641316
PA,14 to 17 Years,1990,679201
PA,14 to 17 Years,2000,624865
PA,18 to 24 Years,1990,1203944
PA,18 to 24 Years,2000,1396575
PA,25 to 44 Years,1990,3157759
PA,25 to 44 Years,2000,3220914
PA,45 to 64 Years,1990,3414001
PA,45 to 64 Years,2000,3755401
PA,65 Years and Over,1990,1910571
PA,65 Years and Over,2000,1872360