WarNum,WarName,TotalDeaths,TotalDays,StartDate
82,Boxer Rebellion,3003,674,6-17-1900
83,Sino-Russian,4000,85,7-17-1900
85,Russo-Japanese,151831,585,2-8-1904
88,Third Central American,1000,54,5-27-1906
91,Fourth Central American,1000,63,2-19-1907
94,Second Spanish-Moroccan,10000,259,7-7-1909
97,Italian-Turkish,20000,385,9-29-1911
100,First Balkan,82000,184,10-17-1912
103,Second Balkan,60500,15,7-15-1913
106,World War I,8578031,1566,7-29-1914
107,Estonian Liberation,11750,407,11-22-1918
108,Latvian Liberation,13246,129,12-7-1918
109,Russo-Polish,100000,612,2-14-1919
112,Hungarian Adversaries,11000,110,4-16-1919
115,Second Greco-Turkish,50000,1255,5-5-1919
116,Franco-Turkish,40000,719,11-1-1919
117,Lithuanian-Polish,1000,139,7-15-1920
118,Manchurian,3200,108,8-17-1929
121,Second Sino-Japanese,60000,520,12-19-1931
124,Chaco,92661,1092,6-15-1932
125,Saudi-Yemeni,2100,54,3-20-1934
127,Conquest of Ethiopia,20000,219,10-3-1935
130,Third Sino-Japanese,1000000,1613,7-7-1937
133,Changkufeng,1726,13,7-29-1938
136,Nomonhan,28000,128,5-11-1939
139,World War II,16634907,1303,6-27-1941
142,Russo-Finnish,151798,103,11-30-1939
145,Franco-Thai,1400,58,12-1-1940
147,First Kashmir,3500,433,10-26-1947
148,Arab-Israeli,8000,64,5-15-1948
151,Korean,910084,1004,10-27-1950
153,Off-shore Islands,2370,232,9-3-1954
155,Sinai War,3221,6,10-31-1956
156,Soviet Invasion of Hungary,2426,10,11-4-1956
158,IfniWar,1122,59,2-10-1958
159,Taiwan Straits,1800,92,8-23-1958
160,Assam,1853,33,10-20-1962
163,"Vietnam War, Phase 2",1021442,2911,2-7-1965
166,Second Kashmir,7061,49,8-5-1965
169,Six Day War,19600,6,6-5-1967
170,"Second Laotian, Phase 2",13866,1921,1-13-1968
172,War of Attrition,5368,519,3-6-1969
175,Football War,1900,4,7-14-1969
176,Communist Coalition,6525,466,3-23-1970
178,Bangladesh,11223,14,12-3-1971
181,Yom Kippur War,14439,18,10-6-1973
184,Turco-Cypriot,1500,10,7-20-1974
186,War over Angola,2700,112,10-23-1975
187,"Second Ogaden War, Phase 2",10500,229,7-23-1977
189,Vietnamese-Cambodian,8000,471,9-24-1977
190,Ugandian-Tanzanian,3000,165,10-28-1978
193,Sino-Vietnamese Punitive,21000,27,2-17-1979
199,Iran-Iraq,1250000,2889,9-22-1980
202,Falkland Islands,1001,82,3-25-1982
205,War over Lebanon,1655,147,4-21-1982
207,War over the Aouzou Strip,8000,300,11-15-1986
208,Sino-Vietnamese Border War,4000,32,1-5-1987
211,Gulf War,41466,252,8-2-1990
215,Bosnian Independence,5240,36,4-7-1992
216,Azeri-Armenian,14000,460,2-6-1993
217,Cenepa Valley,1500,49,1-9-1995
219,Badme Border,120000,951,5-6-1998
221,War for Kosovo,5002,78,3-24-1999
223,Kargil War,1172,70,5-8-1999
225,Invasion of Afghanistan,4002,37,11-15-2001
227,Invasion of Iraq,7173,44,3-19-2003