id,town,income,NonFamilyHouseholdMedianIncome
4400105140,Barrington,116935,50466
4400109280,Bristol,62909,38457
4400173760,Warren,51909,33213
4400318640,Coventry,65507,35995
4400322240,East Greenwich,105903,34069
4400374300,Warwick,66602,37281
4400377720,West Greenwich,86650,56071
4400378440,West Warwick,50952,28645
4400500000,Newport County,-,-
4400536820,Jamestown,101448,50517
4400542400,Little Compton,73125,36406
4400545460,Middletown,63717,40860
4400549960,Newport,59794,47683
4400557880,Portsmouth,86051,40132
4400570880,Tiverton,72365,41304
4400711800,Burrillville,67693,31162
4400714140,Central Falls,28901,16144
4400719180,Cranston,61646,35292
4400720080,Cumberland,78150,29790
4400722960,East Providence,52550,30442
4400727460,Foster,80750,50743
4400730340,Glocester,87758,36513
4400737720,Johnston,58295,35032
4400741500,Lincoln,65634,40094
4400751760,North Providence,52547,33924
4400752480,North Smithfield,81227,42292
4400754640,Pawtucket,44120,28376
4400759000,Providence,37366,26730
4400764220,Scituate,81975,32841
4400766200,Smithfield,76014,40998
4400780780,Woonsocket,37235,24860
4400914500,Charlestown,73203,40417
4400925300,Exeter,78545,45638
4400935380,Hopkinton,74436,38393
4400948340,Narragansett,71725,35846
4400950500,New Shoreham,73952,-
4400951580,North Kingstown,84726,43155
4400961160,Richmond,95026,63333
4400967460,South Kingstown,73801,40539
4400977000,Westerly,60800,35642